END_TIME,M_TMSI,POS_LAST_LON,POS_LAST_LAT
2017-11-13 12:23:00,C52F0A8A,11.625742,48.13603
2017-11-13 12:23:38,C52F0A8A,11.62613,48.13516
2017-11-13 12:28:39,C52F0A8A,11.625716,48.136032
2017-11-13 12:31:08,C52F0A8A,11.624762,48.134182
2017-11-13 19:32:11,C52F0A8A,11.624703,48.133561
2017-11-13 19:35:46,C52F0A8A,11.624687,48.133663
2017-11-13 19:40:49,C52F0A8A,11.624695,48.133669
2017-11-13 19:41:53,C52F0A8A,11.624583,48.13329
2017-11-13 19:45:49,C52F0A8A,11.624673,48.133644
2017-11-13 19:50:53,C52F0A8A,11.624666,48.133675
2017-11-13 19:51:58,C52F0A8A,11.624658,48.133669
2017-11-13 19:52:43,C52F0A8A,11.624666,48.133675
2017-11-13 19:52:58,C52F0A8A,11.624668,48.133621
2017-11-13 19:55:52,C52F0A8A,11.624668,48.133621
2017-11-13 19:57:48,C52F0A8A,11.624675,48.133628
2017-11-13 20:00:55,C52F0A8A,11.624668,48.133621
2017-11-13 20:02:17,C52F0A8A,11.624688,48.133671
2017-11-13 20:05:55,C52F0A8A,11.624688,48.133671
2017-11-13 20:07:48,C52F0A8A,11.624688,48.133671
2017-11-13 20:10:58,C52F0A8A,11.624679,48.133665
2017-11-13 20:15:58,C52F0A8A,11.624696,48.133625
2017-11-13 20:21:00,C52F0A8A,11.624654,48.133711
2017-11-13 20:22:46,C52F0A8A,11.624673,48.133673
2017-11-13 20:23:46,C52F0A8A,11.624665,48.133667
2017-11-13 20:24:48,C52F0A8A,11.624665,48.133667
2017-11-13 20:25:47,C52F0A8A,11.624662,48.133715
2017-11-13 20:26:02,C52F0A8A,11.624648,48.133634
2017-11-13 20:26:47,C52F0A8A,11.624658,48.133659
2017-11-13 20:31:04,C52F0A8A,11.624673,48.133673
2017-11-13 20:32:10,C52F0A8A,11.624659,48.133647
2017-11-13 20:36:07,C52F0A8A,11.62468,48.133672
2017-11-13 13:22:02,C608F61F,11.605137,48.194259
2017-11-13 13:30:06,C608F61F,11.603746,48.1943
2017-11-14 00:00:35,C789381B,11.466031,48.182064
2017-11-13 10:29:45,C7A73208,11.536617,48.096768
2017-11-13 12:37:50,C80700D5,11.653013,48.189076
2017-11-13 12:38:02,C80700D5,11.654985,48.188771
2017-11-13 12:38:28,C80700D5,11.654084,48.18872
2017-11-13 12:38:54,C80700D5,11.653654,48.188186
2017-11-13 12:44:01,C80700D5,11.654689,48.188709
